mac,name,fixed_ip,note
00:26:ab:b8:ff:0d,epson-printer,192.168.10.50,EPSON Workforce 840
9c:8e:cd:18:d9:20,Front-yard Camera,192.168.10.210,Front-yard Camera
b8:27:eb:a8:5e:80,kore,192.168.10.5,R-pi for network admin
